ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Disease comment	Complex comment	subunits(Gene name syn)	subunits(Protein name)	PubMed ID	Subunits comment	SWISSPROT organism
6446	Set/TAF-I beta-TAF-I alpha-PP32 complex	Human	None	HeLa nuclear extracts	P39687;Q01105-1;Q01105-2	8125;6418;6418	MI:0226-ion exchange chromatography;MI:0071-molecular sieving;MI:0019-coimmunoprecipitation	GO:0035067;GO:0006338;GO:0048387;GO:0006355	negative regulation of histone acetylation;chromatin remodeling;negative regulation of retinoic acid receptor signaling pathway;regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	ANP32A;SET;SET	None	Set/TAF-Ib, TAF-Ia, and pp32 are subunits of the INHAT (inhibitor of acetyltransferases) complex. INHAT functions by masking the accessibility of lysines of histones to the acetylases.	C15orf1, LANP, MAPM, PHAP1;TAF-I alpha;TAF-I beta	Acidic leucine-rich nuclear phosphoprotein 32 family member A;Protein SET;Protein SET	11163245	Except for the subtype-specific N-terminus, Set/TAF-Ib and TAF-Ia are identical. UniProtKB - Q01105 shows isoform 1 as TAF-I alpha and isoform 2 as TAF-I beta.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
6620	MGAT1-SLC35A2(splice variant 2) complex	Human	Mgat1-UGT1 complex	HEK293T cells	P26572;P78381-2	4245;7355	MI:0053-fluorescence polarization spectroscopy;MI:0055-fluorescent resonance energy transfer	GO:0015785;GO:0000139	UDP-galactose transport;Golgi membrane	None	None	MGAT1;SLC35A2	None	None	GGNT1, GLCT1, GLYT1, MGAT;UGT1, UGALT, UGT, UGTL	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase;UDP-galactose translocator	25944901	One of the subunits of this complex is a splice variant 2 of SLC35A2 protein.	Homo sapiens (Human);Homo sapiens (Human)
6623	MGAT2-SLC35A2(splice variant 2) complex	Human	MGAT2-UGT1 complex	None	P78381-2;Q10469	7355;4247	MI:0053-fluorescence polarization spectroscopy;MI:0055-fluorescent resonance energy transfer	GO:0015785;GO:0000139	UDP-galactose transport;Golgi membrane	None	None	SLC35A2;MGAT2	None	None	UGT1, UGALT, UGT, UGTL;None	UDP-galactose translocator;Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	25944901	One of the subunits of this complex is a splice variant 2 of SLC35A2 protein.	Homo sapiens (Human);Homo sapiens (Human)
6628	MGAT4B-SLC35A2(splice variant 2) complex	Human	MGAT4B-UGT1 complex	HEK93T cells	P78381-2;Q9UQ53	7355;11282	MI:0053-fluorescence polarization spectroscopy;MI:0055-fluorescent resonance energy transfer	GO:0015785;GO:0000139	UDP-galactose transport;Golgi membrane	None	None	SLC35A2;MGAT4B	None	None	UGT1, UGALT, UGT, UGTL;GNT-IV, GNT-IVB	UDP-galactose translocator;Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	25944901	One of the subunits in this complex is a splice variant 1 of SLC35A2 protein.	Homo sapiens (Human);Homo sapiens (Human)
6630	MGAT5-SLC352A(splice variant 2) complex	Human	MGAT5-UGT1 complex	HEK293T cells	P78381-2;Q09328	7355;4249	MI:0053-fluorescence polarization spectroscopy;MI:0055-fluorescent resonance energy transfer	GO:0015788;GO:0000139	UDP-N-acetylglucosamine transport;Golgi membrane	None	None	SLC35A2;MGAT5	None	None	UGT1, UGALT, UGT, UGTL;GGNT5	UDP-galactose translocator;Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	25944901	One of the subunits in this complex is a splice variant 2of SLC35A2 protein.	Homo sapiens (Human);Homo sapiens (Human)
6648	KCND3-KCNIP4(splice variant 4) complex	Human	Kv4.3- KChIP4a complex	HEK293 cells	Q6PIL6-4;Q9UK17	80333;3752	MI:0019-coimmunoprecipitation	GO:1901379	regulation of potassium ion transmembrane transport	None	None	KCNIP4;KCND3	None	None	CALP,KCHIP4, KCNIP4(splice variant 4);KV4.3, SCA19, SCA22, BRGDA9, KCND3L, KCND3S, KSHIVB	Kv channel-interacting protein 4;Potassium voltage-gated channel subfamily D member 3	26039167	None	Homo sapiens (Human);Homo sapiens (Human)
6662	Kcnj8-Kcnj11-Abcc9(splice variant 2) complex	Mouse	Kir6.1-Kir6.2-SUR2B complex	None	P70170-2;P97794;Q61743	20928;16523;16514	MI:0045-experimental	GO:0071805	potassium ion transmembrane transport	None	None	Abcc9;Kcnj8;Kcnj11	None	None	Sur2B;None;Kir6.2	ATP-binding cassette sub-family C member 9;ATP-sensitive inward rectifier potassium channel 8;ATP-sensitive inward rectifier potassium channel 11	21984445	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
6719	CALM1- KCNQ4(splice variant 2) complex	Human	CaM-Kv4.1(splice varian 2) complex	None	P56696-2;P62158	9132;801	MI:0019-coimmunoprecipitation	GO:0043266	regulation of potassium ion transport	None	None	KCNQ4;CALM1; CAL	None	None	DFNA2, DFNA2A, KV7.4;CALM, CAM, CAM1, CAM2, CAMB, CALML2, CAM3, CAMC, CAMIII	Potassium voltage-gated channel subfamily KQT member 4;Calmodulin	26515070	None	Homo sapiens (Human);Homo sapiens (Human)
6811	RXFP1 signalosome	Human	RXFP1-AKAP79-AC2-ARRB2-PDE4D3-PKA-alpha	HEK293 cells	P17612;P24588;P32121;Q08462;Q08499-2;Q9HBX9	5566;9495;409;108;5144;59350	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0007186;GO:0043949;GO:0009725	G-protein coupled receptor signaling pathway;regulation of cAMP-mediated signaling;response to hormone	30.05.02.24	G-protein coupled receptor signalling pathway	PRKACA;AKAP5;ARRB2;ADCY2;PDE4D;RXFP1	None	AC2 interacts with RXFP1 through AKAP79, whereas the association with PDE4D3 and PKA depends upon beta-arrestin 2 binding to Ser(704).The experiments present a constitutively active GPCR signalosome, that couples the relaxin receptor, RXFP1, to cAMP following receptor stimulation with sub-picomolar concentrations of peptide.	PKACA;AKAP79;ARB2, ARR2;KIAA1060, AC2;DPDE3, PDE4D3;LGR7	cAMP-dependent protein kinase catalytic subunit alpha;A-kinase anchor protein 5;Beta-arrestin-2;Adenylate cyclase type 2;cAMP-specific 3',5'-cyclic phosphodiesterase 4D;Relaxin receptor 1	20664520	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
6992	BRAG2a-beta-dystroglycan complex	Mouse	None	Retina cells	Q62165;Q8R0S2-2	13138;232227	MI:0019-coimmunoprecipitation	GO:0032012;GO:0042461	regulation of ARF protein signal transduction;photoreceptor cell development	None	None	Dag1;Iqsec1	None	None	Dag-1;Kiaa0763	Dystroglycan;IQ motif and SEC7 domain-containing protein 1	28744553	None	Mus musculus (Mouse);Mus musculus (Mouse)
7181	p53beta-MDM2 complex	Human	None	None	P04637-2;Q00987	7157;4193	MI:0019-coimmunoprecipitation	None	None	None	None	TP53;MDM2	None	None	P53beta;None	Cellular tumor antigen p53 beta;E3 ubiquitin-protein ligase Mdm2	22487680	None	Homo sapiens (Human);Homo sapiens (Human)
7182	p53gamma-MDM2 complex	Human	None	None	P04637-3;Q00987	7157;4193	MI:0019-coimmunoprecipitation	None	None	None	None	TP53;MDM2	None	None	P53gamma;None	Cellular tumor antigen p53 gamma;E3 ubiquitin-protein ligase Mdm2	22487680	None	Homo sapiens (Human);Homo sapiens (Human)
7196	Methionine adenosyltransferase alpha2 beta-v2	Human	MAT2A-MAT2Bv2 complex	None	P31153;Q9NZL9-2	4144;27430	MI:0071-molecular sieving	GO:0004478;GO:0048269;GO:0006556	methionine adenosyltransferase activity;methionine adenosyltransferase complex;S-adenosylmethionine biosynthetic process	None	None	MAT2A;MAT2B	None	None	AMS2,MATA2;TGR,MSTP045,Nbla02999	S-adenosylmethionine synthase isoform type-2;Methionine adenosyltransferase 2 subunit beta	25075345	None	Homo sapiens (Human);Homo sapiens (Human)
7218	Dysbindin 1-B-DNA-PK-complex	Human	DTNBP1 1-B-DNA-PK-complex	COS cells	P12956;P13010;P78527;Q96EV8-3	2547;7520;5591;84062	MI:0019-coimmunoprecipitation	GO:0006355	regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	XRCC6;XRCC5;PRKDC;DTNBP1	None	None	G22P1, KU70;G22P2, KU86;HYRC, HYRC1;BLOC1S8,My031	X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;DNA-dependent protein kinase catalytic subunit;Dysbindin 1-B	19142223	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
7246	P53alpha-P53beta complex	Human	p53alpha-p53beta complex	MCF cells	P04637-1;P04637-2	7157;7157	MI:0019-coimmunoprecipitation	None	None	None	None	TP53;TP53	None	p53beta and p53gamma modulate p53alpha transcriptional activity through, at least in part, the formation of DNA-mediated p53alpha/p53beta and p53alpha/p53gamma protein complex (PMID:24926616).	P53alpha;P53beta	Cellular tumor antigen p53;Cellular tumor antigen p53 beta	24926616	None	Homo sapiens (Human);Homo sapiens (Human)
7247	P53alpha-P53gamma complex	Human	None	MCF cells	P04637-1;P04637-3	7157;7157	MI:0019-coimmunoprecipitation	None	None	None	None	TP53;TP53	None	p53beta and p53gamma modulate p53alpha transcriptional activity through, at least in part, the formation of DNA-mediated p53alpha/p53beta and p53alpha/p53gamma protein complex (PMID:24926616).	P53alpha;P53gamma	Cellular tumor antigen p53;Cellular tumor antigen p53 gamma	24926616	None	Homo sapiens (Human);Homo sapiens (Human)
7270	Dystrophin-71d-DAPC complex	Rat	Dmd(Dp71d)-Dag1-Dtna(alpha1)-Dtna(alpha2)-Dtnb-Stna1-Nos1 complex	Cultured hippocampal neurons	A0A1Q1NN66;B5DFL0;D4A772;F1M8K0;P29476;P84060;Q9D2N4-4	Dmd;362242;307548;114489;24598;362715;13527	MI:0019-coimmunoprecipitation	GO:0030182;GO:0016607	neuron differentiation;nuclear speck	43.03.13;70.10.09	neuron;nuclear speckles	Dmd;Snta1;Dtna;Dag1;Nos1;Dtnb;Dtna	None	Dp71d-DAPC was mainly localized in bipolar GABAergic and Dp71f-DAPC in multipolar Glutamatergic hippocampal neurons (PMID:26378780)	dmd, Dp71d isoform;None;None;None;Bnos;None;Dtn alpha 2 isoform	Dystrophin, Dp71d(Delta71,73-74) isoform;Snta1 protein;Dystrobrevin;Dystroglycan 1;Nitric oxide synthase, brain;Dystrobrevin beta;Dystrobrevin alpha 2 isoform	26378780	Since  Dmd (Dp71d isoform) and Dtna (alpha 2 isoform) from rat were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used	Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse)
7276	Dystrophin-71f-DAPC complex	Rat	Dmd(Dp71f)-Dag1-Dtna(alpha1)-Dtna(alpha2)-Dtnb-Stna1-Nos1 complex	Cultured hippocampal neurons	A0A1Q1PRS9;B5DFL0;D4A772;F1M8K0;P29476;P84060;Q9D2N4-4	24907;362242;307548;114489;24598;362715;13527	MI:0019-coimmunoprecipitation	GO:0030182;GO:0016607	neuron differentiation;nuclear speck	43.03.13;70.10.09	neuron;nuclear speckles	Dmd;Snta1;Dtna;Dag1;Nos1;Dtnb;Dtna	None	Dp71d-DAPC was mainly localized in bipolar GABAergic and Dp71f-DAPC in multipolar Glutamatergic hippocampal neurons (PMID:26378780)	dmd Dp71f isoform;None;None;None;Bnos;None;Dtn alpha 2 isoform	Dystrophin Dp71f delta74 isoform;Snta1 protein;Dystrobrevin;Dystroglycan 1;Nitric oxide synthase, brain;Dystrobrevin beta;Dystrobrevin alpha 2 isoform	26378780	Since Dmd (Dp71f isoform) and Dtna (alpha 2 isoform) from rat were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used	Mus musculus (Mouse);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse)
7278	CTNNB1-GSK3B-PHF19 complex	Human	PCL3s-beta-catenin-GSK3beta complex	Hepatocellular carcinoma (HCC) cells	P35222;P49841;Q5T6S3-2	1499;2932;26147	MI:0019-coimmunoprecipitation	GO:1904863;GO:0005737	regulation of beta-catenin-TCF complex assembly;cytoplasm	70.03	cytoplasm	CTNNB1;GSK3B;PHF19	OMIM:114550 Hepatocellular carcinoma (PMID:29483096)	Probably human PCL3s regulated beta-catenin/TCFsignaling in the cytoplasm but not in the nucleus (PMID:29483096)	CTNNB;None;PCL3s short isoform	Catenin beta-1;Glycogen synthase kinase-3 beta;PHD finger protein 19	29483096	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
7279	CTNNB1-BTRC-PHF19 complex	Human	PCL3s-beta-catenin-beta-TrC complex	Hepatocellular carcinoma (HCC) cells	P35222;Q5T6S3-2;Q9Y297	1499;26147;8945	MI:0019-coimmunoprecipitation	GO:0031396	regulation of protein ubiquitination	None	None	CTNNB1;PHF19;BTRC	OMIM:114550 Hepatocellular carcinoma (PMID:29483096)	None	CTNNB;PCL3s short isoform;TRCP1, BTRCP, FBW1A, FBXW1A	Catenin beta-1;PHD finger protein 19;F-box/WD repeat-containing protein 1A	29483096	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
7305	Cytochrome c oxidase including assembly factors (COX, PET100, PET117, MR-1S)	Human	COX including assembly factors; complex IV including assembly factors	143B cells and C-124 human skin fibroblasts	O00483;P00395;P00403;P00414;P09669;P0DJ07;P10176;P10606;P12074;P13073;P14406;P14854;P15954;P20674;P24311;Q6UWS5;Q8N490-2;Q9Y241	4697;4512;4513;4514;1345;100131801;1351;1329;1337;1327;1347;1340;1350;9377;1349;100303755;25953;25994	MI:0069-mass spectrometry studies of complexes;MI:0276-blue native page	GO:0004129;GO:0005743;GO:0022904	cytochrome-c oxidase activity;mitochondrial inner membrane;respiratory electron transport chain	70.16.05;02.11.07;20.01.15	mitochondrial inner membrane;regulation of electron transport and membrane-associated energy conservation;electron transport	NDUFA4;MT-CO1;MT-CO2;MT-CO3;COX6C;PET100;COX8A;COX5B;COX6A1;COX4I1;COX7A2;COX6B1;COX7C;COX5A;COX7B;PET117;PNKD;HIGD1A	None	None	None;COI, COXI, MTCO1;COII COXII MTCO2;COIII,COXIII,MTCO3;None;C19orf79;COX8,COX8L;None;COX6AL;COX4;COX7AL;COX6B;None;None;None;None;KIAA1184,MR1,TAHCCP2,FKSG19;HIG1,HSPC010	Cytochrome c oxidase subunit NDUFA4;Cytochrome c oxidase subunit 1;Cytochrome c oxidase subunit 2;Cytochrome c oxidase subunit 3;Cytochrome c oxidase subunit 6C;Protein PET100 homolog, mitochondrial;Cytochrome c oxidase subunit 8A, mitochondrial;Cytochrome c oxidase subunit 5B, mitochondrial;Cytochrome c oxidase subunit 6A1, mitochondrial;Cytochrome c oxidase subunit 4 isoform 1, mitochondrial;Cytochrome c oxidase subunit 7A2, mitochondrial;Cytochrome c oxidase subunit 6B1;Cytochrome c oxidase subunit 7C, mitochondrial;Cytochrome c oxidase subunit 5A, mitochondrial;Cytochrome c oxidase subunit 7B, mitochondrial;Protein PET117 homolog, mitochondrial;Probable hydrolase PNKD;HIG1 domain family member 1A, mitochondrial	28199844	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
7307	CB2-Gphn-Nlgn2 complex	Mouse	Arhgef9(CB2)-Gphn-Nlgn2 complex	None	Q69ZK9;Q811P8-2;Q8BUV3	216856;330914;268566	MI:0019-coimmunoprecipitation	GO:0050773	regulation of dendrite development	None	None	Nlgn2;Arhgap32;Gphn	None	During hippocampal adult neurogenesis CB1 regulates neuronal migration, while CB2 is essential for dendrite outgrowth (PMID:25082542)	Kiaa1366;CB2,Grit,Kiaa0712,Rics;None	Neuroligin-2;Rho GTPase-activating protein 32, isoform 2;Gephyrin	25082542	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
7334	Cdh23(V3)-Pcdh15-Vlgr1 complex	Mouse	Usher complex (Cdh23 isoform V3, Pcdh15, Vlgr1)	UB/OC-1 cells	Q8VHN7;Q99PF4-3;Q99PJ1	110789;22295;11994	MI:0019-coimmunoprecipitation	GO:0051823	regulation of synapse structural plasticity	None	None	Gpr98;Cdh23;Pcdh15	None	None	Kiaa0686,Mass1,Vlgr1, Adgrv1;V3 isoform;None	G-protein coupled receptor 98;Cadherin-23;Protocadherin-15	22363448	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
7335	Cdh23-Clrn1(2)-Vlgr1 complex	Mouse	Usher complex (Cdh23, Clrn1 isoform 2, Vlgr1)	UB/OC-1 cells	Q8K445-2;Q8VHN7;Q99PF4	229320;110789;22295	MI:0019-coimmunoprecipitation	GO:0051823	regulation of synapse structural plasticity	None	None	Clrn1;Gpr98;Cdh23	None	None	Clrn1 isoform 2,Ush3a;Kiaa0686,Mass1,Vlgr1, Adgrv1;None	Clarin-1;G-protein coupled receptor 98;Cadherin-23	22363448	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
7336	FRMD7(FL)-FRMD7(S) complex	Human	FRMD7(isoform FL)-FRMD7(isoform S) complex	NE2 cells	Q6ZUT3-1;Q6ZUT3-2	90167;90167	MI:0019-coimmunoprecipitation	GO:0010975	regulation of neuron projection development	None	None	FRMD7;FRMD7	None	None	FRMD7 isoform FL;FRMD7 isoform S	FERM domain-containing protein 7;FERM domain-containing protein 7	22128244	None	Homo sapiens (Human);Homo sapiens (Human)
7475	WDR26 (MIP2 variant)-Vdac1 complex	Mammalia	None	H9c2 cells	Q9H7D7-2;Q9Z2L0	80232;83529	MI:0019-coimmunoprecipitation;MI:0096-pull down	None	None	None	None	WDR26;Vdac1	None	The protective effect of MIP2 on the cardiomyocytes against oxidative stress is partly associated with its interaction with VDAC1 and thus inhibiting its expression (PMID:29253592)>	CDW2,MIP2,PRO0852;None	WD repeat-containing protein 26;Voltage-dependent anion-selective channel protein 1	29253592	None	Homo sapiens (Human);Rattus norvegicus (Rat)
7478	TANGO1S-cTAGE5-SEC12 complex	Human	None	HeLa cells	O15320;Q5JRA6-4;Q9HCU5	4253;375056;10113	MI:0019-coimmunoprecipitation	GO:0006888	ER to Golgi vesicle-mediated transport	20.09.07.03	ER to Golgi transport	CTAGE5;MIA3;PREB	None	TANGO1 (L) is an integral membrane protein that binds to collagen and the coatomer of vesicles and is necessary for collagen secretion from the ER. The short isoform of TANGO1 (TANGO1S), lacking the collagen-binding domain, was found that it was independently required for collagen export from the ER. Each of the TANGO1 isoforms forms a stable protein complex with factors involved in collagen secretion: TANGO1L/cTAGE5/Sec12 (900 kDa) and TANGO1S/cTAGE5/Sec12 (700 kDa). TANGO1S and TANGO1L seemed to be interchangeable in exporting collagen from the ER. It was suggested that mammalian ER exit sites possess two different-sized membrane-bound macromolecular complexes that specifically function in large-cargo export from the ER (PMID:27413011).	MEA11,MEA6,MGEA11,MGEA6;KIAA0268,TANGO1S;SEC12	Endoplasmic reticulum export factor CTAGE5;Transport and Golgi organization protein 1 homolog;Prolactin regulatory element-binding protein	27413011	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
