#UniProt1 UniProt2 pdbhit1 pdbhit2 identity1 identity2
O00217 Q9P0J0 5o31_H 5o31_SA 96.0 86.9
O00217 Q9P0J0 6q9d_G 6q9d_R 96.0 83.2
O00217 Q9P0J0 6qa9_G 6qa9_JA 96.0 83.2
O00217 Q9P0J0 6qbx_AA 6qbx_LA 96.0 83.2
O00217 Q9P0J0 6qc2_CB 6qc2_S 96.0 83.2
O00217 Q9P0J0 6qc3_AA 6qc3_DB 96.0 83.2
O00217 Q9P0J0 6qc4_CB 6qc4_MA 96.0 83.2
O00217 Q9P0J0 6qc5_G 6qc5_R 96.0 83.2
O00217 Q9P0J0 6qc6_G 6qc6_JA 96.0 83.2
O00217 Q9P0J0 6qc7_G 6qc7_JA 96.0 83.2
O00217 Q9P0J0 6qc8_G 6qc8_JA 96.0 83.2
O00217 Q9P0J0 6gcs_I 6gcs_T 59.3 41.4
O00217 Q9UI09 5gup_H 5gup_K 92.9 89.0
O00217 Q9UI09 5gup_H 5gup_R 92.9 89.0
O00217 Q9UI09 6g2j_I 6g2j_QA 90.0 88.9
O00217 Q9UI09 6g72_I 6g72_QA 90.0 88.9
O00217 Q9UI09 5xtb_B 5xtb_M 100.0 100.0
O00217 Q9UI09 5xtd_B 5xtd_M 100.0 100.0
O00217 Q9UI09 5xth_B 5xth_M 100.0 100.0
O00217 Q9UI09 5lc5_I 5lc5_QA 96.0 89.1
O00217 Q9UI09 5ldw_I 5ldw_QA 96.0 89.7
O00217 Q9UI09 5lnk_G 5lnk_W 96.0 89.7
O00217 Q9UI09 5o31_H 5o31_HA 96.0 89.7
O00217 Q9UI09 6q9d_G 6q9d_P 96.0 89.7
O00217 Q9UI09 6qa9_G 6qa9_P 96.0 89.7
O00217 Q9UI09 6qbx_AA 6qbx_JA 96.0 89.7
O00217 Q9UI09 6qc2_CB 6qc2_LB 96.0 89.7
O00217 Q9UI09 6qc3_AA 6qc3_JA 96.0 89.7
O00217 Q9UI09 6qc4_CB 6qc4_LB 96.0 89.7
O00217 Q9UI09 6qc5_G 6qc5_P 96.0 89.7
O00217 Q9UI09 6qc6_G 6qc6_P 96.0 89.7
O00217 Q9UI09 6qc7_G 6qc7_P 96.0 89.7
O00217 Q9UI09 6qc8_G 6qc8_P 96.0 89.7
O00330 P00390 1zy8_K 1zy8_A 99.1 30.2
O00330 P00390 1zy8_K 1zy8_B 99.1 30.2
O00330 P00390 1zy8_M 1zy8_E 99.1 30.2
O00330 P00390 1zy8_M 1zy8_F 99.1 30.2
O00330 P00390 1zy8_L 1zy8_C 99.1 30.2
O00330 P00390 1zy8_L 1zy8_D 99.1 30.2
O00330 P00390 1zy8_O 1zy8_I 99.1 30.2
O00330 P00390 1zy8_O 1zy8_J 99.1 30.2
O00330 P00390 1zy8_N 1zy8_G 99.1 30.2
O00330 P00390 1zy8_N 1zy8_H 99.1 30.2
O00330 P00390 2f5z_K 2f5z_A 98.2 30.2
O00330 P00390 2f5z_K 2f5z_B 98.2 30.2
O00330 P00390 2f5z_M 2f5z_E 98.2 30.2
O00330 P00390 2f5z_M 2f5z_F 98.2 30.2
O00330 P00390 2f5z_L 2f5z_C 98.2 30.2
O00330 P00390 2f5z_L 2f5z_D 98.2 30.2
O00330 P00390 2f5z_O 2f5z_I 98.2 30.2
O00330 P00390 2f5z_O 2f5z_J 98.2 30.2
O00330 P00390 2f5z_N 2f5z_G 98.2 30.2
O00330 P00390 2f5z_N 2f5z_H 98.2 30.2
O00330 P09622 1zy8_K 1zy8_A 99.1 100.0
O00330 P09622 1zy8_K 1zy8_B 99.1 100.0
O00330 P09622 1zy8_M 1zy8_E 99.1 100.0
O00330 P09622 1zy8_M 1zy8_F 99.1 100.0
O00330 P09622 1zy8_L 1zy8_C 99.1 100.0
O00330 P09622 1zy8_L 1zy8_D 99.1 100.0
O00330 P09622 1zy8_O 1zy8_I 99.1 100.0
O00330 P09622 1zy8_O 1zy8_J 99.1 100.0
O00330 P09622 1zy8_N 1zy8_G 99.1 100.0
O00330 P09622 1zy8_N 1zy8_H 99.1 100.0
O00330 P09622 2f5z_K 2f5z_A 98.2 99.8
O00330 P09622 2f5z_K 2f5z_B 98.2 99.8
O00330 P09622 2f5z_M 2f5z_E 98.2 99.8
O00330 P09622 2f5z_M 2f5z_F 98.2 99.8
O00330 P09622 2f5z_L 2f5z_C 98.2 99.8
O00330 P09622 2f5z_L 2f5z_D 98.2 99.8
O00330 P09622 2f5z_O 2f5z_I 98.2 99.8
O00330 P09622 2f5z_O 2f5z_J 98.2 99.8
O00330 P09622 2f5z_N 2f5z_G 98.2 99.8
O00330 P09622 2f5z_N 2f5z_H 98.2 99.8
O00330 Q9NNW7 1zy8_K 1zy8_A 99.1 31.1
O00330 Q9NNW7 1zy8_K 1zy8_B 99.1 31.1
O00330 Q9NNW7 1zy8_M 1zy8_E 99.1 31.1
O00330 Q9NNW7 1zy8_M 1zy8_F 99.1 31.1
O00330 Q9NNW7 1zy8_L 1zy8_C 99.1 31.1
O00330 Q9NNW7 1zy8_L 1zy8_D 99.1 31.1
O00330 Q9NNW7 1zy8_O 1zy8_I 99.1 31.1
O00330 Q9NNW7 1zy8_O 1zy8_J 99.1 31.1
O00330 Q9NNW7 1zy8_N 1zy8_G 99.1 31.1
O00330 Q9NNW7 1zy8_N 1zy8_H 99.1 31.1
O00330 Q9NNW7 2f5z_K 2f5z_A 98.2 31.1
O00330 Q9NNW7 2f5z_K 2f5z_B 98.2 31.1
O00330 Q9NNW7 2f5z_M 2f5z_E 98.2 31.1
O00330 Q9NNW7 2f5z_M 2f5z_F 98.2 31.1
O00330 Q9NNW7 2f5z_L 2f5z_C 98.2 31.1
O00330 Q9NNW7 2f5z_L 2f5z_D 98.2 31.1
O00330 Q9NNW7 2f5z_O 2f5z_I 98.2 31.1
O00330 Q9NNW7 2f5z_O 2f5z_J 98.2 31.1
O00330 Q9NNW7 2f5z_N 2f5z_G 98.2 31.1
O00330 Q9NNW7 2f5z_N 2f5z_H 98.2 31.1
O00411 Q00059 6erp_G 6erp_A 99.9 99.5
O00411 Q00059 6erp_H 6erp_D 99.9 99.5
O00411 Q00059 6erq_G 6erq_A 99.9 99.5
O00411 Q00059 6erq_H 6erq_D 99.9 99.5
O00411 Q96QE5 5ola_E 5ola_A 99.9 100.0
O00411 Q96QE5 5ola_I 5ola_C 99.9 100.0
O00411 Q9H5Q4 6erp_G 6erp_I 99.9 100.0
O00411 Q9H5Q4 6erp_H 6erp_J 99.9 100.0
O00411 Q9H5Q4 6erq_G 6erq_I 99.9 100.0
O00411 Q9H5Q4 6erq_H 6erq_J 99.9 100.0
O00429 Q96C03 5wp9_A 5wp9_B 96.5 100.0
O00429 Q96C03 5wp9_A 5wp9_D 96.5 100.0
O00429 Q96C03 5wp9_A 5wp9_J 96.5 100.0
O00429 Q96C03 5wp9_A 5wp9_N 96.5 100.0
O00429 Q96C03 5wp9_C 5wp9_B 96.5 100.0
O00429 Q96C03 5wp9_C 5wp9_D 96.5 100.0
O00429 Q96C03 5wp9_C 5wp9_N 96.5 100.0
O00429 Q96C03 5wp9_E 5wp9_F 96.5 100.0
O00429 Q96C03 5wp9_E 5wp9_H 96.5 100.0
O00429 Q96C03 5wp9_E 5wp9_L 96.5 100.0
O00429 Q96C03 5wp9_G 5wp9_F 96.5 100.0
O00429 Q96C03 5wp9_G 5wp9_H 96.5 100.0
O00429 Q96C03 5wp9_G 5wp9_L 96.5 100.0
O00429 Q96C03 5wp9_G 5wp9_P 96.5 100.0
O00429 Q96C03 5wp9_I 5wp9_B 96.5 100.0
O00429 Q96C03 5wp9_I 5wp9_D 96.5 100.0
O00429 Q96C03 5wp9_I 5wp9_J 96.5 100.0
O00429 Q96C03 5wp9_K 5wp9_H 96.5 100.0
O00429 Q96C03 5wp9_K 5wp9_L 96.5 100.0
O00429 Q96C03 5wp9_K 5wp9_P 96.5 100.0
O00429 Q96C03 5wp9_M 5wp9_D 96.5 100.0
O00429 Q96C03 5wp9_M 5wp9_N 96.5 100.0
O00429 Q96C03 5wp9_O 5wp9_L 96.5 100.0
O00429 Q96C03 5wp9_O 5wp9_P 96.5 100.0
O00429 Q96H55 2aka_C 2aka_A 55.9 36.1
O00429 Q9NQG6 5wp9_A 5wp9_B 96.5 49.1
O00429 Q9NQG6 5wp9_A 5wp9_D 96.5 49.1
O00429 Q9NQG6 5wp9_A 5wp9_J 96.5 49.1
O00429 Q9NQG6 5wp9_A 5wp9_N 96.5 49.1
O00429 Q9NQG6 5wp9_C 5wp9_B 96.5 49.1
O00429 Q9NQG6 5wp9_C 5wp9_D 96.5 49.1
O00429 Q9NQG6 5wp9_C 5wp9_N 96.5 49.1
O00429 Q9NQG6 5wp9_E 5wp9_F 96.5 49.1
O00429 Q9NQG6 5wp9_E 5wp9_H 96.5 49.1
O00429 Q9NQG6 5wp9_E 5wp9_L 96.5 49.1
O00429 Q9NQG6 5wp9_G 5wp9_F 96.5 49.1
O00429 Q9NQG6 5wp9_G 5wp9_H 96.5 49.1
O00429 Q9NQG6 5wp9_G 5wp9_L 96.5 49.1
O00429 Q9NQG6 5wp9_G 5wp9_P 96.5 49.1
O00429 Q9NQG6 5wp9_I 5wp9_B 96.5 49.1
O00429 Q9NQG6 5wp9_I 5wp9_D 96.5 49.1
O00429 Q9NQG6 5wp9_I 5wp9_J 96.5 49.1
O00429 Q9NQG6 5wp9_K 5wp9_H 96.5 49.1
O00429 Q9NQG6 5wp9_K 5wp9_L 96.5 49.1
O00429 Q9NQG6 5wp9_K 5wp9_P 96.5 49.1
O00429 Q9NQG6 5wp9_M 5wp9_D 96.5 49.1
O00429 Q9NQG6 5wp9_M 5wp9_N 96.5 49.1
O00429 Q9NQG6 5wp9_O 5wp9_L 96.5 49.1
O00429 Q9NQG6 5wp9_O 5wp9_P 96.5 49.1
O00483 P00395 5z62_N 5z62_A 100.0 100.0
O00483 P00403 5z62_N 5z62_B 100.0 100.0
O00483 P00414 5z62_N 5z62_C 100.0 100.0
O00483 P14854 5z62_N 5z62_H 100.0 100.0
O00483 Q6YFQ2 5z62_N 5z62_H 100.0 58.7
O00763 P05165 4hr7_A 4hr7_C 31.7 49.1
O00763 P05165 4hr7_A 4hr7_E 31.7 49.1
O00763 P05165 4hr7_A 4hr7_F 31.7 49.1
O00763 P05165 4hr7_C 4hr7_A 31.7 49.1
O00763 P05165 4hr7_C 4hr7_E 31.7 49.1
O00763 P05165 4hr7_C 4hr7_F 31.7 49.1
O00763 P05165 4hr7_E 4hr7_A 31.7 49.1
O00763 P05165 4hr7_E 4hr7_C 31.7 49.1
O00763 P05165 4hr7_E 4hr7_F 31.7 49.1
O00763 P05165 4hr7_F 4hr7_A 31.7 49.1
O00763 P05165 4hr7_F 4hr7_C 31.7 49.1
O00763 P05165 4hr7_F 4hr7_E 31.7 49.1
O00763 P05165 5ks8_A 5ks8_B 32.8 41.8
O00763 P05165 5ks8_B 5ks8_A 32.8 41.8
O00763 P11498 4hr7_A 4hr7_C 31.7 43.8
O00763 P11498 4hr7_A 4hr7_E 31.7 43.8
O00763 P11498 4hr7_A 4hr7_F 31.7 43.8
O00763 P11498 4hr7_C 4hr7_A 31.7 43.8
O00763 P11498 4hr7_C 4hr7_E 31.7 43.8
O00763 P11498 4hr7_C 4hr7_F 31.7 43.8
O00763 P11498 4hr7_E 4hr7_A 31.7 43.8
O00763 P11498 4hr7_E 4hr7_C 31.7 43.8
O00763 P11498 4hr7_E 4hr7_F 31.7 43.8
O00763 P11498 4hr7_F 4hr7_A 31.7 43.8
O00763 P11498 4hr7_F 4hr7_C 31.7 43.8
O00763 P11498 4hr7_F 4hr7_E 31.7 43.8
O00763 P11498 5ks8_A 5ks8_B 32.8 40.6
O00763 P11498 5ks8_A 5ks8_C 32.8 31.3
O00763 P11498 5ks8_A 5ks8_E 32.8 31.3
O00763 P11498 5ks8_A 5ks8_D 32.8 31.3
O00763 P11498 5ks8_A 5ks8_F 32.8 31.3
O00763 P11498 5ks8_B 5ks8_A 32.8 40.6
O00763 P11498 5ks8_B 5ks8_C 32.8 31.3
O00763 P11498 5ks8_B 5ks8_E 32.8 31.3
O00763 P11498 5ks8_B 5ks8_D 32.8 31.3
O00763 P11498 5ks8_B 5ks8_F 32.8 31.3
O00763 Q13085 4hr7_A 4hr7_C 31.7 31.8
O00763 Q13085 4hr7_A 4hr7_E 31.7 31.8
O00763 Q13085 4hr7_A 4hr7_F 31.7 31.8
O00763 Q13085 4hr7_C 4hr7_A 31.7 31.8
O00763 Q13085 4hr7_C 4hr7_E 31.7 31.8
O00763 Q13085 4hr7_C 4hr7_F 31.7 31.8
O00763 Q13085 4hr7_E 4hr7_A 31.7 31.8
O00763 Q13085 4hr7_E 4hr7_C 31.7 31.8
O00763 Q13085 4hr7_E 4hr7_F 31.7 31.8
O00763 Q13085 4hr7_F 4hr7_A 31.7 31.8
O00763 Q13085 4hr7_F 4hr7_C 31.7 31.8
O00763 Q13085 4hr7_F 4hr7_E 31.7 31.8
O00763 Q13085 5ks8_A 5ks8_B 32.8 33.2
O00763 Q13085 5ks8_B 5ks8_A 32.8 33.2
O00763 Q96RQ3 4hr7_A 4hr7_C 31.7 47.7
O00763 Q96RQ3 4hr7_A 4hr7_E 31.7 47.7
O00763 Q96RQ3 4hr7_A 4hr7_F 31.7 47.7
O00763 Q96RQ3 4hr7_C 4hr7_A 31.7 47.7
O00763 Q96RQ3 4hr7_C 4hr7_E 31.7 47.7
O00763 Q96RQ3 4hr7_C 4hr7_F 31.7 47.7
